airline;baggage_complaints;review_count;baggage_rate
KLM Royal Dutch Airlines;77;998;0.07715430861723446
Air Canada;71;998;0.07114228456913828
Lufthansa;66;999;0.06606606606606606
Air France;59;998;0.05911823647294589
Iberia;42;898;0.0467706013363029
Air China;35;805;0.043478260869565216
Saudia;18;476;0.037815126050420166
Austrian Airlines;30;799;0.03754693366708386
Turkish Airlines;33;998;0.033066132264529056
TAP Portugal;33;998;0.033066132264529056
SAS Scandinavian Airlines;31;941;0.03294367693942614
WestJet;32;999;0.03203203203203203
United Airlines;27;998;0.027054108216432865
Aeromexico;19;726;0.026170798898071626
American Airlines;26;998;0.026052104208416832
Copa Airlines;11;430;0.02558139534883721
Delta Air Lines;24;998;0.02404809619238477
LATAM Airlines;13;542;0.023985239852398525
Swiss International Air Lines;22;990;0.022222222222222223
Etihad Airways;21;998;0.021042084168336674
Finnair;20;957;0.02089864158829676
British Airways;20;999;0.02002002002002002
Gulf Air;8;420;0.01904761904761905
Malaysia Airlines;18;999;0.018018018018018018
Qatar Airways;17;998;0.017034068136272545
China Airlines;8;492;0.016260162601626018
Southwest Airlines;14;999;0.014014014014014014
Emirates;14;1001;0.013986013986013986
Alaska Airlines;13;980;0.013265306122448979
Aerolineas Argentinas;3;227;0.013215859030837005
Avianca;10;796;0.01256281407035176
Norwegian;12;985;0.012182741116751269
JetBlue Airways;12;998;0.012024048096192385
China Eastern Airlines;8;698;0.011461318051575931
China Southern Airlines;10;999;0.01001001001001001
Oman Air;5;509;0.009823182711198428
Vietnam Airlines;7;766;0.009138381201044387
Air New Zealand;8;878;0.009111617312072893
Virgin Atlantic;8;878;0.009111617312072893
Singapore Airlines;9;999;0.009009009009009009
Ryanair;8;998;0.008016032064128256
EVA Air;2;270;0.007407407407407408
Cathay Pacific;7;998;0.0070140280561122245
easyJet;5;800;0.00625
Thai Airways;4;999;0.004004004004004004
Hainan Airlines;1;428;0.002336448598130841
Japan Airlines;1;434;0.002304147465437788
Korean Air;1;595;0.0016806722689075631
Asiana Airlines;0;526;0.0
ANA All Nippon Airways;0;628;0.0
