airline;cancellation_strict_count;disruption_count;review_count;cancellation_strict_rate;disruption_rate
JetBlue Airways;91;303;998;0.09118236472945891;0.30360721442885774
Southwest Airlines;91;266;999;0.09109109109109109;0.26626626626626626
Air Canada;78;276;998;0.0781563126252505;0.27655310621242485
easyJet;60;141;800;0.075;0.17625
United Airlines;72;247;998;0.07214428857715431;0.24749498997995992
WestJet;68;267;999;0.06806806806806807;0.2672672672672673
Delta Air Lines;65;235;998;0.06513026052104208;0.23547094188376755
Lufthansa;65;246;999;0.06506506506506507;0.24624624624624625
American Airlines;61;263;998;0.061122244488977955;0.2635270541082164
Norwegian;60;139;985;0.06091370558375635;0.14111675126903553
TAP Portugal;56;215;998;0.056112224448897796;0.2154308617234469
British Airways;54;198;999;0.05405405405405406;0.1981981981981982
SAS Scandinavian Airlines;45;150;941;0.04782146652497343;0.1594048884165781
LATAM Airlines;25;102;542;0.046125461254612546;0.1881918819188192
KLM Royal Dutch Airlines;46;182;998;0.04609218436873747;0.18236472945891782
Alaska Airlines;42;155;980;0.04285714285714286;0.15816326530612246
Avianca;32;117;796;0.04020100502512563;0.14698492462311558
Air New Zealand;35;108;878;0.03986332574031891;0.12300683371298406
Oman Air;20;53;509;0.03929273084479371;0.10412573673870335
Aeromexico;27;100;726;0.0371900826446281;0.13774104683195593
Turkish Airlines;29;165;998;0.02905811623246493;0.1653306613226453
Emirates;28;100;1001;0.027972027972027972;0.0999000999000999
Malaysia Airlines;27;99;999;0.02702702702702703;0.0990990990990991
China Eastern Airlines;18;59;698;0.025787965616045846;0.08452722063037249
Copa Airlines;11;51;430;0.02558139534883721;0.1186046511627907
Swiss International Air Lines;25;120;990;0.025252525252525252;0.12121212121212122
Etihad Airways;25;129;998;0.025050100200400802;0.12925851703406813
Air France;24;106;998;0.02404809619238477;0.1062124248496994
Aerolineas Argentinas;5;37;227;0.022026431718061675;0.16299559471365638
Iberia;19;72;898;0.021158129175946547;0.0801781737193764
Finnair;20;89;957;0.02089864158829676;0.09299895506792058
Ryanair;20;74;998;0.02004008016032064;0.07414829659318638
Austrian Airlines;16;87;799;0.02002503128911139;0.10888610763454318
EVA Air;5;14;270;0.018518518518518517;0.05185185185185185
Air China;14;85;805;0.017391304347826087;0.10559006211180125
China Southern Airlines;15;43;999;0.015015015015015015;0.043043043043043044
Qatar Airways;12;64;998;0.012024048096192385;0.06412825651302605
Cathay Pacific;12;63;998;0.012024048096192385;0.06312625250501001
Vietnam Airlines;9;48;766;0.01174934725848564;0.06266318537859007
Hainan Airlines;5;12;428;0.011682242990654205;0.028037383177570093
Saudia;5;30;476;0.01050420168067227;0.06302521008403361
Thai Airways;10;48;999;0.01001001001001001;0.04804804804804805
Singapore Airlines;10;43;999;0.01001001001001001;0.043043043043043044
Virgin Atlantic;6;34;878;0.00683371298405467;0.0387243735763098
China Airlines;3;23;492;0.006097560975609756;0.046747967479674794
ANA All Nippon Airways;3;18;628;0.004777070063694267;0.028662420382165606
Japan Airlines;2;6;434;0.004608294930875576;0.013824884792626729
Asiana Airlines;2;14;526;0.0038022813688212928;0.026615969581749048
Gulf Air;1;20;420;0.002380952380952381;0.047619047619047616
Korean Air;1;16;595;0.0016806722689075631;0.02689075630252101
