airline;delay_complaints;review_count;delay_rate
American Airlines;485;998;0.48597194388777554
Air Canada;444;998;0.44488977955911824
JetBlue Airways;434;998;0.4348697394789579
United Airlines;360;998;0.36072144288577157
Aerolineas Argentinas;75;227;0.3303964757709251
Delta Air Lines;315;998;0.3156312625250501
Southwest Airlines;315;999;0.3153153153153153
easyJet;243;800;0.30375
WestJet;291;999;0.2912912912912913
Turkish Airlines;280;998;0.280561122244489
China Eastern Airlines;195;698;0.2793696275071633
Lufthansa;276;999;0.27627627627627627
Norwegian;272;985;0.27614213197969545
Air China;213;805;0.2645962732919255
TAP Portugal;240;998;0.24048096192384769
British Airways;240;999;0.24024024024024024
Malaysia Airlines;230;999;0.23023023023023023
Alaska Airlines;225;980;0.22959183673469388
KLM Royal Dutch Airlines;227;998;0.22745490981963928
Air France;225;998;0.22545090180360722
SAS Scandinavian Airlines;210;941;0.22316684378320936
Austrian Airlines;171;799;0.21401752190237797
LATAM Airlines;113;542;0.20848708487084872
Aeromexico;146;726;0.20110192837465565
Finnair;192;957;0.2006269592476489
Avianca;158;796;0.1984924623115578
Swiss International Air Lines;192;990;0.19393939393939394
Ryanair;193;998;0.1933867735470942
Saudia;92;476;0.19327731092436976
Vietnam Airlines;141;766;0.18407310704960836
Cathay Pacific;183;998;0.18336673346693386
Gulf Air;77;420;0.18333333333333332
China Airlines;87;492;0.17682926829268292
Copa Airlines;75;430;0.1744186046511628
Iberia;156;898;0.17371937639198218
Oman Air;78;509;0.15324165029469547
Etihad Airways;140;998;0.1402805611222445
Thai Airways;140;999;0.14014014014014015
Emirates;133;1001;0.13286713286713286
Air New Zealand;111;878;0.1264236902050114
Hainan Airlines;50;428;0.11682242990654206
EVA Air;31;270;0.11481481481481481
Qatar Airways;110;998;0.11022044088176353
Singapore Airlines;105;999;0.10510510510510511
ANA All Nippon Airways;65;628;0.1035031847133758
China Southern Airlines;102;999;0.1021021021021021
Virgin Atlantic;86;878;0.0979498861047836
Japan Airlines;42;434;0.0967741935483871
Asiana Airlines;50;526;0.09505703422053231
Korean Air;54;595;0.0907563025210084
